שאלה,תשובות,תשובה נכונה,מושג,פרק,
מהי המשמעות של חופש מדת? , החובה של כל אדם להפוך לחילוני / הזכות של אדם שלא להחזיק באמונה דתית ושלא יכפו עליו קיום מצוות / החופש לבחור בין שתי דתות שונות , הזכות של אדם שלא להחזיק באמונה דתית ושלא יכפו עליו קיום מצוות , חופש מדת , זכויות וחובות,
"אדם התובע שלא לסגור את המרכול שלו בשבת בשם רצונו לנהל אורח חיים חופשי, מממש את: ", חופש הדת / חופש מדת / חופש התנועה , חופש מדת , חופש מדת , זכויות וחובות,
מהו הבסיס המרכזי של הזכות לשוויון? , כל בני האדם שווים בערכם ולכן יש להתייחס אליהם באופן שווה / לכל בני האדם חייבת להיות אותה כמות כסף בבנק / המדינה חייבת לתת לכולם את אותם שירותים ללא קשר לצורך , כל בני האדם שווים בערכם ולכן יש להתייחס אליהם באופן שווה , הזכות לשוויון , זכויות וחובות,
"מהי ""אפליה פסולה""? "," מתן יחס שונה לבני אדם בשל סיבה שאינה רלוונטית לנושא (כמו דת, גזע או מין) / מתן יחס שונה לאנשים בעלי צרכים מיוחדים / מתן העדפה למי ששירת בצה""ל "," מתן יחס שונה לבני אדם בשל סיבה שאינה רלוונטית לנושא (כמו דת, גזע או מין) ", אפליה פסולה , זכויות וחובות,
סירוב לקבל אדם לעבודה רק בשל היותו ערבי או חרדי נחשב ל: , הבחנה מותרת / אפליה פסולה / העדפה מתקנת , אפליה פסולה , אפליה פסולה , זכויות וחובות,
"מהי ""הבחנה מותרת""? ", מתן יחס שונה לאנשים כאשר יש לכך סיבה רלוונטית ומוצדקת / העדפת מקורבים לשלטון / מתן יחס שווה לכולם בכל מצב , מתן יחס שונה לאנשים כאשר יש לכך סיבה רלוונטית ומוצדקת , הבחנה מותרת , זכויות וחובות,
מתן תוספת זמן בבחינה לתלמיד עם לקות למידה מאובחנת היא דוגמה ל: , אפליה פסולה / הבחנה מותרת / זכויות פוליטיות , הבחנה מותרת , הבחנה מותרת , זכויות וחובות,
"מהי המטרה של מדיניות ""העדפה מתקנת""? ", להעניק הטבה זמנית לקבוצה שקופחה בעבר כדי לצמצם פערים בחברה / להעניש את הקבוצות החזקות בחברה / להבטיח שוויון כלכלי מלא לכולם , להעניק הטבה זמנית לקבוצה שקופחה בעבר כדי לצמצם פערים בחברה , העדפה מתקנת , זכויות וחובות,
שריין מקומות לנשים ברשימת מפלגה לכנסת הוא ביטוי ל: , הבחנה מותרת / העדפה מתקנת / חופש המצפון , העדפה מתקנת , העדפה מתקנת , זכויות וחובות,
מהו ההבדל המרכזי בין העדפה מתקנת להבחנה? ," הבחנה מבוססת על צורך נוכחי רלוונטי, והעדפה מתקנת נועדה לתקן עוול היסטורי או חברתי / אין הבדל / הבחנה היא קבועה והעדפה מתקנת היא לשעה אחת "," הבחנה מבוססת על צורך נוכחי רלוונטי, והעדפה מתקנת נועדה לתקן עוול היסטורי או חברתי ", העדפה מתקנת , זכויות וחובות,
"מהי המטרה של ""הזכות להליך הוגן""? ", להבטיח שכל אדם יעמוד למשפט פעם בשנה / להגן על אדם מפני פגיעה לא מוצדקת בזכויותיו בעת מפגש עם החוק והמשפט / לוודא שכל מי שנעצר יימצא אשם , להגן על אדם מפני פגיעה לא מוצדקת בזכויותיו בעת מפגש עם החוק והמשפט , הזכות להליך הוגן , זכויות וחובות,
איזו מהבאות היא אחת מהערבויות להליך הוגן? , הזכות לייצוג על ידי עורך דין / חובת האדם להוכיח שהוא חף מפשע / קיום משפט בדלתיים סגורות תמיד , הזכות לייצוג על ידי עורך דין , הזכות להליך הוגן , זכויות וחובות,
אדם נחשב לחף מפשע כל עוד לא הוכחה אשמתו בבית המשפט. זהו כלל מרכזי ב: , הזכות לקניין / הזכות להליך הוגן / חופש הביטוי , הזכות להליך הוגן , הזכות להליך הוגן , זכויות וחובות,
"מה מאפיין את ""הזכויות הכלכליות-חברתיות""? ", המדינה מעניקה אותן לאזרחיה באמצעות משאבים ושירותים כדי להבטיח רמת חיים נאותה / אלו זכויות טבעיות שאינן דורשות תקציב / אלו זכויות שניתנות רק למי שעובד , המדינה מעניקה אותן לאזרחיה באמצעות משאבים ושירותים כדי להבטיח רמת חיים נאותה , זכויות כלכליות-חברתיות , זכויות וחובות,
איזו מהזכויות הבאות נחשבת לזכות חברתית? , הזכות לחיים / הזכות לחינוך / חופש הדת , הזכות לחינוך , זכויות כלכליות-חברתיות , זכויות וחובות,
מה ההבדל בין זכויות חברתיות לזכויות אדם טבעיות? ," זכויות חברתיות תלויות במדיניות המדינה ובתקציב, זכויות טבעיות מגיעות לכל אדם מעצם לידתו / אין הבדל / זכויות חברתיות נאכפות על ידי המשטרה "," זכויות חברתיות תלויות במדיניות המדינה ובתקציב, זכויות טבעיות מגיעות לכל אדם מעצם לידתו ", זכויות כלכליות-חברתיות , זכויות וחובות,
"מהי מטרתן של ""זכויות קבוצתיות/תרבותיות""? "," להגן על זכויותיו של הפרט כבודד / לאפשר לקבוצות מיעוט לשמר את זהותן הייחודית (שפה, דת, חינוך) / לתת לקבוצה אחת לשלוט על קבוצה אחרת "," לאפשר לקבוצות מיעוט לשמר את זהותן הייחודית (שפה, דת, חינוך) ", זכויות קבוצתיות/תרבותיות , זכויות וחובות,
מימוש הזכות להקמת בתי ספר בשפת המיעוט הוא ביטוי ל: , זכויות פוליטיות / זכויות קבוצתיות / זכויות טבעיות , זכויות קבוצתיות , זכויות קבוצתיות/תרבותיות , זכויות וחובות,
האם המדינה מחויבת תמיד להעניק זכויות קבוצתיות? ," כן, בכל מצב / תלוי במדיניות המדינה ובמידת ההכרה שלה במיעוטים / לא, זכויות אלו אסורות בדמוקרטיה "," תלוי במדיניות המדינה ובמידת ההכרה שלה במיעוטים / לא, זכויות אלו אסורות בדמוקרטיה ", זכויות קבוצתיות/תרבותיות , זכויות וחובות,
"מהו הרעיון המרכזי העומד בבסיס ""עקרון שלטון העם""? ", העם הוא הריבון ומקור הסמכות של השלטון / הממשלה קובעת לעם איך לחיות / הצבא הוא מקור הכוח במדינה , העם הוא הריבון ומקור הסמכות של השלטון , עקרון שלטון העם , עקרונות הדמוקרטיה,
"כיצד בא לידי ביטוי ""שלטון עם"" בדמוקרטיה עקיפה (ייצוגית)? ", האזרחים מצביעים ישירות על כל חוק בכנסת / האזרחים בוחרים נציגים שמנהלים עבורם את המדינה / האזרחים יוצאים להפגנות מדי יום , האזרחים בוחרים נציגים שמנהלים עבורם את המדינה , עקרון שלטון העם , עקרונות הדמוקרטיה,
מהו ההבדל המרכזי בין דמוקרטיה ישירה לדמוקרטיה עקיפה? ," בישירה האזרחים מקבלים את ההחלטות בעצמם, ובעקיפה הנציגים עושים זאת / בדמוקרטיה ישירה אין צורך בחוקים / בדמוקרטיה עקיפה אין בחירות "," בישירה האזרחים מקבלים את ההחלטות בעצמם, ובעקיפה הנציגים עושים זאת ", עקרון שלטון העם , עקרונות הדמוקרטיה,
מהי המשמעות של עקרון הפלורליזם בדמוקרטיה? , הכרה בזכות קיומן של קבוצות שונות בעלות דעות וצרכים שונים / חובה על כולם לחשוב אותו דבר / הממשלה צריכה לשלוט בכל הקבוצות , הכרה בזכות קיומן של קבוצות שונות בעלות דעות וצרכים שונים , פלורליזם , עקרונות הדמוקרטיה,
קיום של מפלגות רבות בעלות אידיאולוגיות שונות הוא ביטוי ל: , עקרון הכרעת הרוב / עקרון הפלורליזם / עקרון שלטון החוק , עקרון הפלורליזם , פלורליזם , עקרונות הדמוקרטיה,
מדוע הפלורליזם נחשב למרכיב חיוני בדמוקרטיה? , כי הוא מונע מהאזרחים להתווכח / כי הוא מאפשר תחרות חופשית בין דעות וקבוצות שונות / כי הוא מבטיח שכולם יהיו שווים מבחינה כלכלית , כי הוא מאפשר תחרות חופשית בין דעות וקבוצות שונות , פלורליזם , עקרונות הדמוקרטיה,
מהי המשמעות המעשית של עקרון הסובלנות? , קבלה וכיבוד של דעות השונה גם כשהן מעוררות התנגדות / הסכמה עם דעת הרוב בכל מצב / התעלמות מוחלטת מהחוק , קבלה וכיבוד של דעות השונה גם כשהן מעוררות התנגדות , סובלנות , עקרונות הדמוקרטיה,
כיצד עקרון הסובלנות מסייע ליציבות המשטר הדמוקרטי? , הוא מעניק לממשלה כוח בלתי מוגבל / הוא מאפשר ויכוח ציבורי ללא פנייה לאלימות / הוא גורם למיעוט להפוך לרוב , הוא מאפשר ויכוח ציבורי ללא פנייה לאלימות , סובלנות , עקרונות הדמוקרטיה,
"אדם המקשיב לדעתו של יריבו הפוליטי מבלי לנסות להשתיקו, מקיים את: ", עקרון הסובלנות / עקרון הפלורליזם / עקרון שלטון העם , עקרון הסובלנות , סובלנות , עקרונות הדמוקרטיה,
מהי המשמעות של עקרון ההסכמיות? ," הסכמה רחבה על ""כללי המשחק"" ועל מסגרת המדינה כדי לאפשר חיים משותפים / חובה להסכים על כל החלטה של הממשלה / הסכמה בין המפלגות על חלוקת תקציבים בלבד "," הסכמה רחבה על ""כללי המשחק"" ועל מסגרת המדינה כדי לאפשר חיים משותפים ", הסכמיות , עקרונות הדמוקרטיה,
מה הקשר בין פלורליזם להסכמיות? ," ככל שיש יותר פלורליזם, יש פחות צורך בהסכמיות / ככל שיש יותר פלורליזם, כך גובר הצורך בהסכמיות כדי למנוע פירוק של המדינה / אין קשר בין שני המושגים "," ככל שיש יותר פלורליזם, כך גובר הצורך בהסכמיות כדי למנוע פירוק של המדינה ", הסכמיות , עקרונות הדמוקרטיה,
על מה חייבת להיות הסכמיות בסיסית במדינה דמוקרטית? , על גובה המיסים / על קיום המדינה ועל אופייה הדמוקרטי / על זהותו של ראש הממשלה הבא , על קיום המדינה ועל אופייה הדמוקרטי , הסכמיות , עקרונות הדמוקרטיה,
מה קובע עקרון הכרעת הרוב? , שהחלטות מתקבלות לפי רצון המספר הגדול ביותר של המצביעים / שהרוב רשאי לבטל את זכויות המיעוט / שהמיעוט חייב להפוך לרוב כדי להשפיע , שהחלטות מתקבלות לפי רצון המספר הגדול ביותר של המצביעים , עקרון הכרעת הרוב , עקרונות הדמוקרטיה,
מדוע הכרעת הרוב נחשבת לדרך הטובה ביותר לקבלת החלטות בדמוקרטיה? , כי הרוב תמיד צודק / כי זו הדרך הקרובה ביותר למימוש רצון העם באופן שלום / כי כך המיעוט לא יכול להפריע , כי זו הדרך הקרובה ביותר למימוש רצון העם באופן שלום , עקרון הכרעת הרוב , עקרונות הדמוקרטיה,
"מהי ""עריצות הרוב""? ", מצב בו הרוב מנצל את כוחו כדי לפגוע בזכויות היסוד של המיעוט / מצב בו הרוב מחליט על הקמת ממשלה / מצב בו המיעוט משתלט על הרוב , מצב בו הרוב מנצל את כוחו כדי לפגוע בזכויות היסוד של המיעוט , עקרון הכרעת הרוב , עקרונות הדמוקרטיה,
"מדוע קיים צורך בעקרון ""הגבלת השלטון"" בדמוקרטיה? ", כדי למנוע מהשלטון לצבור כוח רב מדי ולעשות בו שימוש לרעה / כדי להחליש את המדינה מול אויביה / כדי לאפשר לאזרחים לעבור על החוק , כדי למנוע מהשלטון לצבור כוח רב מדי ולעשות בו שימוש לרעה , עקרון הגבלת השלטון , עקרונות הדמוקרטיה,
איזו מהבאות היא דוגמה לאמצעי להגבלת השלטון? , קיום בחירות תקופתיות והפרדת רשויות / הגדלת תקציב הממשלה / צמצום מספר המפלגות , קיום בחירות תקופתיות והפרדת רשויות , עקרון הגבלת השלטון , עקרונות הדמוקרטיה,
מהו תפקידם של מנגנוני פיקוח וביקורת (כמו מבקר המדינה או התקשורת)? , לסייע לממשלה להסתיר טעויות / לפקח על פעולות השלטון ולדווח לציבור על ליקויים / להחליף את הממשלה ללא בחירות , לפקח על פעולות השלטון ולדווח לציבור על ליקויים , עקרון הגבלת השלטון , עקרונות הדמוקרטיה,
"מהי המטרה של עקרון ""הפרדת הרשויות""? ", לפצל את סמכויות השלטון בין שלושה גופים כדי למנוע ריכוז כוח / לגרום לרשויות להילחם זו בזו / לאפשר לכל רשות לפעול ללא חוקים , לפצל את סמכויות השלטון בין שלושה גופים כדי למנוע ריכוז כוח , הפרדת רשויות , עקרונות הדמוקרטיה,
מהן שלוש הרשויות בדמוקרטיה? ," המחוקקת, המבצעת והשופטת / הכנסת, הצבא והמשטרה / הממשלה, הנשיא והעיריות "," המחוקקת, המבצעת והשופטת ", הפרדת רשויות , עקרונות הדמוקרטיה,
"מהו עקרון ""איזונים ובלמים"" בהקשר של הפרדת רשויות? ", כל רשות מפקחת ומגבילה את כוחן של הרשויות האחרות / הממשלה קובעת את פסקי הדין של השופטים / הכנסת מבצעת את החלטות הממשלה , כל רשות מפקחת ומגבילה את כוחן של הרשויות האחרות , הפרדת רשויות , עקרונות הדמוקרטיה,
"מה קובע עקרון ""שלטון החוק""? "," שכולם, כולל השלטון, כפופים לחוק שנחוקק בדרך דמוקרטית / שכל אזרח יכול לקבוע לעצמו את החוקים / שהחוק תקף רק לגבי האזרחים ולא לגבי הממשלה "," שכולם, כולל השלטון, כפופים לחוק שנחוקק בדרך דמוקרטית ", עקרון שלטון החוק , עקרונות הדמוקרטיה,
מי אחראי על חקיקת החוקים במדינה דמוקרטית? , בית המשפט העליון / הרשות המחוקקת (הפרלמנט) / המשטרה , הרשות המחוקקת (הפרלמנט) , עקרון שלטון החוק , עקרונות הדמוקרטיה,
"מהי ""פקודה בלתי חוקית בעליל""? ", פקודה שסותרת חוק תנועה פשוט / פקודה שדוקרת את העין ומקוממת את הלב ונוגדת באופן מובהק ערכי מוסר בסיסיים / פקודה שניתנה בכתב ולא בעל פה , פקודה שדוקרת את העין ומקוממת את הלב ונוגדת באופן מובהק ערכי מוסר בסיסיים , עקרון שלטון החוק , עקרונות הדמוקרטיה,
"מהי המחלוקת המרכזית סביב שאלת ""מיהו יהודי"" בישראל? ", האם ההגדרה צריכה להיות דתית-הלכתית או לאומית-אזרחית / האם יהודים צריכים לחיות רק בישראל / האם כל יהודי חייב ללמוד עברית , האם ההגדרה צריכה להיות דתית-הלכתית או לאומית-אזרחית , מיהו יהודי ," הלאום, היהדות והשסעים בחברה",
"כיצד הגדיר בג""ץ את מעמדו של האח דניאל (רופאייזן) לעניין חוק השבות? ", כיהודי מכוח הלאום / כלא-יהודי כיוון שהמיר את דתו לנצרות / כיהודי מכוח ההלכה , כלא-יהודי כיוון שהמיר את דתו לנצרות , מיהו יהודי ," הלאום, היהדות והשסעים בחברה",
"על פי ההגדרה ההלכתית, מי נחשב ליהודי? "," מי שנולד לאם יהודייה או התגייר כהלכה / מי שמזדהה עם התרבות היהודית / מי שמשרת בצה""ל ", מי שנולד לאם יהודייה או התגייר כהלכה , מיהו יהודי ," הלאום, היהדות והשסעים בחברה",
"מהו הסדר ""תורתו אומנותו"" (דחיית שירות)? "," הסדר המאפשר לבחורי ישיבות לדחות את גיוסם לצה""ל כל עוד הם לומדים תורה / חוק המחייב כל אמן להתגייס ליחידה קרבית / תוכנית ללימודי אמנות בתוך הצבא "," הסדר המאפשר לבחורי ישיבות לדחות את גיוסם לצה""ל כל עוד הם לומדים תורה ", דחיית שירות ('תורתו אומנותו') ," הלאום, היהדות והשסעים בחברה",
מדוע נושא דחיית השירות נחשב למוקד מרכזי בשסע הדתי-חילוני? , בגלל הטענה לחוסר שוויון בנטל השירות בין הקבוצות / בגלל מחסור בחיילים ביחידות הטכנולוגיות / בגלל עלות המדים של בני הישיבות , בגלל הטענה לחוסר שוויון בנטל השירות בין הקבוצות , דחיית שירות ('תורתו אומנותו') ," הלאום, היהדות והשסעים בחברה",
"מהו המעמד המשפטי של הסדר דחיית השירות בעקבות פסיקות בג""ץ בעשורים האחרונים? "," בג""ץ קבע כי ההסדר פוגע בשוויון ויש להסדירו בחקיקה שוויונית / בג""ץ קבע כי ההסדר הוא חוק יסוד / בג""ץ אסר לחלוטין על לימוד תורה "," בג""ץ קבע כי ההסדר פוגע בשוויון ויש להסדירו בחקיקה שוויונית ", דחיית שירות ('תורתו אומנותו') ," הלאום, היהדות והשסעים בחברה",
"מהי עמדת ""מדינת הלכה"" לגבי אופיה של ישראל? ", המדינה צריכה להתנהל על פי חוקי התורה והמשפט העברי / המדינה צריכה להיות חילונית לחלוטין / המדינה צריכה לשלב רק חלק מהמצוות בחוק , המדינה צריכה להתנהל על פי חוקי התורה והמשפט העברי , עמדות כלפי האופי הדתי של המדינה ," הלאום, היהדות והשסעים בחברה",
"אדם השואף שישראל תהיה ""מדינה חילונית"" תומך ב: ", הפרדה מלאה בין דת למדינה וחקיקה אזרחית בלבד / מתן תקציבים שווים לכל הדתות / קיום טקסי דת במוסדות השלטון , הפרדה מלאה בין דת למדינה וחקיקה אזרחית בלבד , עמדות כלפי האופי הדתי של המדינה ," הלאום, היהדות והשסעים בחברה",
"מה מאפיין את עמדת ""מדינה מסורתית-תרבותית""? ", שילוב ערכים ומנהגים יהודיים במרחב הציבורי מתוך בחירה ומורשת / כפיית שמירת שבת על כל האזרחים / ביטול כל סממן יהודי מהדגל , שילוב ערכים ומנהגים יהודיים במרחב הציבורי מתוך בחירה ומורשת , עמדות כלפי האופי הדתי של המדינה ," הלאום, היהדות והשסעים בחברה",
"מהו המאפיין המרכזי של ""הזרם האורתודוקסי"" בחברה היהודית? ", מחויבות מלאה לחיים על פי ההלכה והמסורת הדתית / ראיית היהדות כתרבות בלבד ללא מצוות / שלילת הקשר בין עם ישראל לארץ ישראל , מחויבות מלאה לחיים על פי ההלכה והמסורת הדתית , קבוצות בחברה היהודית ," הלאום, היהדות והשסעים בחברה",
"כיצד מגדיר ""הציבור המסורתי"" לרוב את זהותו היהודית? "," שומר על חלק מהמנהגים (חגים, קידוש) מתוך זיקה למורשת ולמשפחה / אינו שומר על אף מנהג דתי / חי בקהילה סגורה ללא טכנולוגיה "," שומר על חלק מהמנהגים (חגים, קידוש) מתוך זיקה למורשת ולמשפחה ", קבוצות בחברה היהודית ," הלאום, היהדות והשסעים בחברה",
"מהי הגישה של ""הציבור החילוני"" כלפי היהדות? "," רואה ביהדות בעיקר תרבות, לאום והיסטוריה, ולא מערכת מחייבת של מצוות / דורש להפוך את ישראל למדינת הלכה / רואה ביהדות דת זרה "," רואה ביהדות בעיקר תרבות, לאום והיסטוריה, ולא מערכת מחייבת של מצוות ", קבוצות בחברה היהודית ," הלאום, היהדות והשסעים בחברה",
"מהו תפקידה המרכזי של ""רשות מקומית"" בישראל? "," לנהל את ענייני היומיום של התושבים באזור גאוגרפי מוגדר (חינוך, פינוי אשפה) / לחוקק חוקים לכלל המדינה / לנהל את מדיניות החוץ והביטחון "," לנהל את ענייני היומיום של התושבים באזור גאוגרפי מוגדר (חינוך, פינוי אשפה) ", רשות מקומית , שלטון מקומי,
מי בוחר את ראש הרשות המקומית ואת מועצת הרשות? , תושבי הרשות הרשומים בה / שר הפנים / חברי הכנסת , תושבי הרשות הרשומים בה , רשות מקומית , שלטון מקומי,
"מדוע השלטון המקומי נחשב ל""שלטון קרוב""? ", כי הוא מטפל בצרכים המיידיים של האזרח בסביבת מגוריו / כי הוא ממוקם תמיד ליד הכנסת / כי הוא מורכב רק מבני משפחה , כי הוא מטפל בצרכים המיידיים של האזרח בסביבת מגוריו , רשות מקומית , שלטון מקומי,
"מהי ""עירייה"" לפי הגדרות משרד הפנים? "," רשות מקומית המנהלת יישוב עירוני, לרוב עם מעל 20,000 תושבים / רשות המנהלת רק קיבוצים ומושבים / גוף שאחראי רק על פארקים "," רשות מקומית המנהלת יישוב עירוני, לרוב עם מעל 20,000 תושבים ", עירייה , שלטון מקומי,
"מה מאפיין ""מועצה אזורית"" לעומת עירייה? "," היא מאגדת מספר יישובים כפריים (קיבוצים, מושבים) תחת גוף ניהולי אחד / היא מנהלת רק עיר אחת גדולה / היא אינה רשאית לגבות מיסים "," היא מאגדת מספר יישובים כפריים (קיבוצים, מושבים) תחת גוף ניהולי אחד ", מועצה אזורית , שלטון מקומי,
איזה סוג רשות מנהלת בדרך כלל יישוב קטן שאינו עיר ואינו חלק ממועצה אזורית? , מועצה מקומית / ממשלת ישראל / ועד שכונה , מועצה מקומית , מועצה מקומית , שלטון מקומי,
"מהם ""חוקי עזר"" של רשות מקומית? ", חוקים שהרשות מחוקקת לניהול ענייניה הפנימיים (כמו חניה או פתיחת עסקים) / חוקים שהכנסת מחוקקת עבור העיריות / המלצות לא מחייבות לתושבים , חוקים שהרשות מחוקקת לניהול ענייניה הפנימיים (כמו חניה או פתיחת עסקים) , חוקי עזר , שלטון מקומי,
מהו התנאי לכניסתו לתוקף של חוק עזר עירוני? , אישור של שר הפנים (או השר הרלוונטי) / הסכמה של כלל התושבים במשאל עם / חתימה של נשיא המדינה , אישור של שר הפנים (או השר הרלוונטי) , חוקי עזר , שלטון מקומי,
כיצד חוקי העזר מסייעים לרשות המקומית? , הם מאפשרים לה להתאים את הכללים לצרכים הספציפיים של היישוב ותושביו / הם מאפשרים לה לבטל חוקי מדינה / הם מעניקים לה חסינות משפטית , הם מאפשרים לה להתאים את הכללים לצרכים הספציפיים של היישוב ותושביו , חוקי עזר , שלטון מקומי,
"מהי ""ארנונה""? ", מס שגובה הרשות המקומית מהתושבים למימון השירותים הציבוריים / תרומה מרצון של האזרחים לעירייה / מענק שהמדינה נותנת לראש העיר , מס שגובה הרשות המקומית מהתושבים למימון השירותים הציבוריים , ארנונה , שלטון מקומי,
על פי מה נקבע גובה תשלום הארנונה לנכס? ," סוג הנכס (מגורים/עסק), שטחו ומיקומו / מספר האנשים שגרים בבית בלבד / גובה המשכורת של בעל הנכס "," סוג הנכס (מגורים/עסק), שטחו ומיקומו ", ארנונה , שלטון מקומי,
לשם מה משמשים כספי הארנונה? ," למימון שירותי ניקיון, תאורת רחוב, גינון וחינוך ברשות / לתשלום חובות של הממשלה / לקניית רכבים פרטיים לעובדי העירייה "," למימון שירותי ניקיון, תאורת רחוב, גינון וחינוך ברשות ", ארנונה , שלטון מקומי,
"מהי ""ועדה קרואה"" (ועדה ממונה)? ", ועדה שממנה שר הפנים לניהול רשות מקומית שנכשלה בתפקודה או בניהול תקציבה / ועדה שבוחרת את המצטיינים בעירייה / ועדת חקירה של הכנסת , ועדה שממנה שר הפנים לניהול רשות מקומית שנכשלה בתפקודה או בניהול תקציבה , ועדה קרואה , שלטון מקומי,
מה קורה למועצת הרשות המכהנת כאשר ממונה ועדה קרואה? , היא מפוזרת וסמכויותיה עוברות לחברי הוועדה הממונית / היא ממשיכה לעבוד כרגיל לצד הוועדה / חבריה עוברים לעבוד בכנסת , היא מפוזרת וסמכויותיה עוברות לחברי הוועדה הממונית , ועדה קרואה , שלטון מקומי,
מהי המטרה העיקרית של מינוי ועדה קרואה? , הבראת הרשות מבחינה כלכלית וניהולית והחזרתה לתפקוד תקין / הענשת התושבים על בחירתם / ביטול הדמוקרטיה המקומית לצמיתות , הבראת הרשות מבחינה כלכלית וניהולית והחזרתה לתפקוד תקין , ועדה קרואה , שלטון מקומי,
"מהי ""לאומיות אתנית-תרבותית""? "," לאומיות המבוססת על שותפות של מוצא, שפה, היסטוריה ותרבות / לאומיות המבוססת על מגורים משותפים וציות לחוקים בלבד / לאומיות שניתן להצטרף אליה רק באמצעות מבחן כלכלי "," לאומיות המבוססת על שותפות של מוצא, שפה, היסטוריה ותרבות ", סוגי לאומיות , מדינה יהודית ודמוקרטית,
"מה מאפיין ""לאומיות פוליטית (אזרחית)""? ", השייכות ללאום נקבעת על פי האזרחות והנאמנות לערכי המדינה / השייכות ללאום נקבעת רק על פי דת האדם / השייכות ללאום עוברת בירושה מההורים , השייכות ללאום נקבעת על פי האזרחות והנאמנות לערכי המדינה , סוגי לאומיות , מדינה יהודית ודמוקרטית,
ישראל מגדירה את עצמה כמדינת הלאום של העם היהודי. זוהי דוגמה ל: , לאומיות אתנית-תרבותית / לאומיות אזרחית / חוסר לאומיות , לאומיות אתנית-תרבותית , סוגי לאומיות , מדינה יהודית ודמוקרטית,
"מהי המטרה העיקרית של ""חוק השבות""? "," להבטיח את זכותו של כל יהודי לעלות לישראל ולקבל אזרחות / לקבוע את גובה המיסים של העולים החדשים / לאסור על ישראלים להגר לחו""ל ", להבטיח את זכותו של כל יהודי לעלות לישראל ולקבל אזרחות , חוק השבות , מדינה יהודית ודמוקרטית,
"מי נכלל ב""סעיף הנכד"" בחוק השבות? "," צאצאים של יהודים עד דור שלישי, בני זוגם וילדיהם (גם אם אינם יהודים הלכתית) / רק נכדים שנולדו בישראל / רק נכדים של ניצולי שואה "," צאצאים של יהודים עד דור שלישי, בני זוגם וילדיהם (גם אם אינם יהודים הלכתית) ", חוק השבות , מדינה יהודית ודמוקרטית,
מהי הזיקה בין חוק השבות להיותה של ישראל מדינת לאום יהודית? , החוק מבטא את תפקיד המדינה כמקלט וכבית לאומי לכל יהודי העולם / החוק נועד להגדיל את כמות המשרתים בצבא / החוק מבטיח שוויון כלכלי בין דתות , החוק מבטא את תפקיד המדינה כמקלט וכבית לאומי לכל יהודי העולם , חוק השבות , מדינה יהודית ודמוקרטית,
"מהי הדרך המרכזית לקבלת אזרחות ישראלית לפי ""חוק האזרחות""? ", מכוח דין הדם (הורשה מהורים) או מכוח חוק השבות / רק באמצעות שירות צבאי מלא / רק באמצעות קניית נכס בישראל , מכוח דין הדם (הורשה מהורים) או מכוח חוק השבות , חוק האזרחות , מדינה יהודית ודמוקרטית,
"מהו ""דין הקרקע"" (הנהוג במדינות כמו ארה""ב) לעומת ""דין הדם""? "," דין הקרקע מעניק אזרחות למי שנולד בשטח המדינה, דין הדם מעניק אזרחות לפי הלאום של ההורים / אין הבדל בין השניים / דין הדם חל רק על תרומות דם "," דין הקרקע מעניק אזרחות למי שנולד בשטח המדינה, דין הדם מעניק אזרחות לפי הלאום של ההורים ", חוק האזרחות , מדינה יהודית ודמוקרטית,
מה מסמל מנורת שבעת הקנים בסמל המדינה? , את הקשר ההיסטורי לבית המקדש ולריבונות היהודית העתיקה / את שבעת ימי השבוע / את שבעת המחוזות של ישראל , את הקשר ההיסטורי לבית המקדש ולריבונות היהודית העתיקה , סמלי המדינה , מדינה יהודית ודמוקרטית,
"מהו מעמדה של השפה העברית בישראל לפי ""חוק יסוד: ישראל מדינת הלאום""? ", השפה הרשמית של המדינה / שפה המותרת לשימוש רק בטקסים דתיים / שפה שווה במעמדה לשפה האנגלית , השפה הרשמית של המדינה , השפה העברית , מדינה יהודית ודמוקרטית,
"מהי המשמעות של ""התפוצות"" בהקשר של עם ישראל? ", קהילות יהודיות החיות מחוץ למדינת ישראל / קבוצות של ישראלים שעברו לגור בערים שונות בארץ / ארגונים בינלאומיים התומכים בישראל , קהילות יהודיות החיות מחוץ למדינת ישראל , העם היהודי והתפוצות , מדינה יהודית ודמוקרטית,
כיצד באה לידי ביטוי אחריות המדינה כלפי יהודי התפוצות? ," בסיוע בעלייה, הגנה מפני אנטישמיות ושימור הקשר התרבותי / במתן זכות הצבעה בבחירות בישראל לכל יהודי בעולם / בתשלום מיסים של ישראל לקהילות בחו""ל "," בסיוע בעלייה, הגנה מפני אנטישמיות ושימור הקשר התרבותי ", העם היהודי והתפוצות , מדינה יהודית ודמוקרטית,
"מהו תפקידו של ""מבקר המדינה""? ", לבדוק את תקינות הפעילות של מוסדות השלטון והציבור ולדווח על ליקויים / לנהל את תקציב הביטחון של ישראל / לחוקק חוקים הנוגעים לענייני כספים , לבדוק את תקינות הפעילות של מוסדות השלטון והציבור ולדווח על ליקויים , מנגנוני פיקוח וביקורת , עקרונות הדמוקרטיה,
